Date;Time;Severity;TID;This;Function;Message
2020/06/05;16:09:22.123;INFO;21632;0;client::ClientEngine::handleRequest@181;"Request received from server: {""data"":""00"",""request"":6,""timeout"":4999}"
2020/06/05;16:09:22.124;INFO;24936;0;client::Command::run@24;"Request ""command"" is being processed"
2020/06/05;16:09:22.155;DEBUG;24936;0;client::ExampleTerminalPCSCContactless::sendCommand@139;"Failed to call SCardTransmit() [error:The parameter is incorrect.][card:16861477009170104326][pbSendBuffer:0x24febe52fc0][cbSendLength:1][recvbuffer:m][recvlength:65536]"
2020/06/05;16:09:22.157;INFO;21632;0;client::ClientEngine::sendResult@235;"Response sent to server: {""client_description"":""OK"",""err_card_code"":0,""err_card_description"":""OK"",""err_client_code"":0,""err_server_code"":0,""err_server_description"":""OK"",""err_terminal_code"":87,""response"":""KO"",""terminal_description"":""Failed to send command: The parameter is incorrect.""}"
2020/06/05;16:09:43.585;INFO;21632;0;client::ClientEngine::handleRequest@181;"Request received from server: {""data"":""00A4000400"",""request"":6,""timeout"":4999}"
2020/06/05;16:09:43.586;INFO;9840;0;client::Command::run@24;"Request ""command"" is being processed"
2020/06/05;16:09:43.598;INFO;21632;0;client::ClientEngine::sendResult@235;"Response sent to server: {""client_description"":""OK"",""err_card_code"":0,""err_card_description"":""OK"",""err_client_code"":0,""err_server_code"":0,""err_server_description"":""OK"",""err_terminal_code"":0,""response"":""6E 00"",""terminal_description"":""OK""}"
2020/06/05;16:10:47.086;INFO;21632;0;client::ClientEngine::handleRequest@181;"Request received from server: {""data"":""00A4000400"",""request"":6,""timeout"":4999}"
2020/06/05;16:10:47.087;INFO;23900;0;client::Command::run@24;"Request ""command"" is being processed"
2020/06/05;16:10:47.100;INFO;21632;0;client::ClientEngine::sendResult@235;"Response sent to server: {""client_description"":""OK"",""err_card_code"":0,""err_card_description"":""OK"",""err_client_code"":0,""err_server_code"":0,""err_server_description"":""OK"",""err_terminal_code"":0,""response"":""6E 00"",""terminal_description"":""OK""}"
2020/06/05;16:12:25.873;DEBUG;21632;0;client::ClientTCPSocket::receivePacket@121;"Failed to receive data size from client -  [socket:1772][buffer:0][size:4][flags:0]"
2020/06/05;16:12:25.874;INFO;21632;0;client::ExampleTerminalPCSCContactless::disconnect@293;"Terminal PCSC disconnected successfully"
2020/06/05;16:12:25.877;INFO;21632;0;client::ClientEngine::disconnectClient@150;"Client disconnected successfully"
2020/06/05;16:12:25.877;INFO;21632;0;client::ClientEngine::waitingRequests@170;"Client not waiting for requests"
2020/06/05;16:13:03.046;INFO;21664;0;client::ClientEngine::connectClient@100;"Client trying to connect on IP 127.0.0.1 port 62111"
2020/06/05;16:13:03.050;DEBUG;21664;0;client::ClientTCPSocket::connectClient@59;"Socket = 1668"
2020/06/05;16:13:04.157;DEBUG;21664;0;client::ClientTCPSocket::connectClient@78;"Failed to connect: server unreachable[ip:(null)][port:(null)]"
2020/06/05;16:13:10.390;INFO;21664;0;client::ClientEngine::connectClient@100;"Client trying to connect on IP 127.0.0.1 port 62111"
2020/06/05;16:13:10.394;DEBUG;21664;0;client::ClientTCPSocket::connectClient@59;"Socket = 1692"
2020/06/05;16:13:10.498;DEBUG;21664;0;client::ExampleTerminalPCSCContactless::connect@122;"Reader connected: Alcor Micro USB Smart Card Reader 0"
2020/06/05;16:13:10.499;INFO;21664;0;client::ClientEngine::connectClient@127;"Client connected on IP 127.0.0.1 port 62111"
2020/06/05;16:13:10.500;INFO;7572;0;client::ClientEngine::waitingRequests@158;"Client ready to process incoming requests"
2020/06/05;16:13:14.839;INFO;7572;0;client::ClientEngine::handleRequest@181;"Request received from server: {""data"":"""",""request"":3,""timeout"":5500}"
2020/06/05;16:13:14.840;INFO;16116;0;client::Echo::run@24;"Request ""echo"" is being processed"
2020/06/05;16:13:14.852;INFO;7572;0;client::ClientEngine::sendResult@235;"Response sent to server: {""client_description"":""OK"",""err_card_code"":0,""err_card_description"":""OK"",""err_client_code"":0,""err_server_code"":0,""err_server_description"":""OK"",""err_terminal_code"":0,""response"":""6D 00"",""terminal_description"":""OK""}"
2020/06/05;16:13:40.677;INFO;7572;0;client::ClientEngine::handleRequest@181;"Request received from server: {""data"":""00A4000400"",""request"":6,""timeout"":4999}"
2020/06/05;16:13:40.678;INFO;10884;0;client::Command::run@24;"Request ""command"" is being processed"
